Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,24355,-,-,-,31.55,74.35,6,0,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2009,1,1,0,0,0,0,0,0,0,0,-4,12,990,32.74,163.12,0.611,0,300.1,2.4000000000000004,0
2009,1,1,1,0,0,0,0,0,0,0,-4,11,990,34.08,171.4,0.624,0,309.3,2.6,0
2009,1,1,2,0,0,0,0,0,0,0,-4,11,990,35.19,165.28,0.638,0,316.6,2.7,0
2009,1,1,3,0,0,0,0,0,0,0,-4,10,990,35.75,153.34,0.649,0,320,2.9000000000000004,0
2009,1,1,4,0,0,0,0,0,0,0,-4,10,990,35.92,140.65,0.64,0,320.3,3,0
2009,1,1,5,0,0,0,0,0,0,0,-5,9,990,35.9,127.89,0.624,0,318.5,3,0
2009,1,1,6,0,0,0,0,0,0,0,-7,8,990,32.36,115.3,0.378,0,298.7,2.9000000000000004,0
2009,1,1,7,0,0,0,0,0,0,0,-8,7,990,32.89,103.01,0.366,0,297.1,2.8000000000000003,0
2009,1,1,8,0,0,0,0,0,0,0,-8,8,990,30.2,91.24,0.362,0,294.90000000000003,2.8000000000000003,0
2009,1,1,9,0,82,189,115,77,247,119,-8,11,990,23.22,80.23,0.363,0,292.40000000000003,2.3000000000000003,0
2009,1,1,10,0,140,441,288,138,472,297,-9,15,990,17.98,70.41,0.365,0,287.3,1.7000000000000002,0
2009,1,1,11,0,173,566,436,173,595,450,-10,19,990,12.040000000000001,62.34,0.373,0,285.3,1.9000000000000001,0
2009,1,1,12,0,188,634,536,192,657,552,-14,23,990,7.390000000000001,56.79,0.389,0,289.5,2.5,0
2009,1,1,13,0,194,657,576,198,677,591,-15,24,990,6,54.550000000000004,0.40700000000000003,0,289.5,2.7,0
2009,1,1,14,0,191,642,550,194,662,564,-16,25,990,5.54,56.03,0.426,0,289,2.7,0
2009,1,1,15,0,177,584,461,178,607,473,-16,24,990,5.5200000000000005,60.95,0.441,0,290.40000000000003,2.7,0
2009,1,1,16,0,156,453,322,147,498,329,-16,23,990,5.96,68.56,0.454,0,289.90000000000003,2.6,0
2009,1,1,17,0,98,220,144,92,299,154,-16,19,990,8.040000000000001,78.08,0.462,0,282.6,2.3000000000000003,0
2009,1,1,18,0,1,0,1,6,11,7,-16,16,990,9.700000000000001,88.87,0.465,0,277,2.3000000000000003,0
2009,1,1,19,0,0,0,0,0,0,0,-16,15,990,10.370000000000001,100.52,0.47000000000000003,0,276,2.3000000000000003,0
2009,1,1,20,0,0,0,0,0,0,0,-15,14,990,11.09,112.72,0.481,0,278.90000000000003,2.3000000000000003,0
2009,1,1,21,0,0,0,0,0,0,0,-15,13,990,12.06,125.28,0.496,0,281.90000000000003,2.3000000000000003,0
2009,1,1,22,0,0,0,0,0,0,0,-15,12,990,13.25,138.02,0.514,0,287.1,2.2,0
2009,1,1,23,0,0,0,0,0,0,0,-14,12,990,14.48,150.74,0.533,0,295.40000000000003,2.1,0
2009,1,2,0,0,0,0,0,0,0,0,-13,11,990,15.68,162.95000000000002,0.554,0,306.5,2.1,0
2009,1,2,1,0,0,0,0,0,0,0,-13,11,990,17.03,171.27,0.577,0,315.70000000000005,2,0
2009,1,2,2,0,0,0,0,0,0,0,-13,10,990,18.29,165.32,0.595,0,321.3,1.9000000000000001,0
2009,1,2,3,0,0,0,0,0,0,0,-12,10,990,19.5,153.42000000000002,0.609,0,317.90000000000003,2,0
2009,1,2,4,0,0,0,0,0,0,0,-12,9,990,20.75,140.74,0.623,0,312.20000000000005,2.1,0
2009,1,2,5,0,0,0,0,0,0,0,-11,9,990,22.03,127.98,0.64,0,308.3,2.1,0
2009,1,2,6,0,0,0,0,0,0,0,-11,8,990,23.3,115.36,0.663,0,306.5,2,0
2009,1,2,7,0,0,0,0,0,0,0,-11,8,990,24.59,103.07000000000001,0.6890000000000001,0,306.7,1.9000000000000001,0
2009,1,2,8,0,0,0,0,0,0,0,-10,9,990,23.740000000000002,91.28,0.716,0,306.6,1.8,0
2009,1,2,9,0,70,21,74,74,231,113,-10,12,990,18.97,80.26,0.739,0,311.90000000000003,1.4000000000000001,0
2009,1,2,10,0,159,57,179,136,451,287,-10,16,990,15.32,70.41,0.749,0,321.70000000000005,0.7000000000000001,0
2009,1,2,11,0,242,154,314,170,573,437,-11,21,990,10.47,62.31,0.75,0,306.2,0.8,0
2009,1,2,12,0,252,436,492,189,636,538,-12,24,990,7.96,56.74,0.748,0,299.90000000000003,1,0
2009,1,2,13,0,208,617,567,196,658,578,-13,25,990,7.16,54.47,0.747,0,301.6,0.9,0
2009,1,2,14,0,191,642,551,192,645,553,-13,25,990,6.8,55.92,0.741,0,312.90000000000003,0.7000000000000001,0
2009,1,2,15,0,178,581,462,176,593,465,-14,24,990,6.7700000000000005,60.82,0.718,0,322.20000000000005,0.6000000000000001,0
2009,1,2,16,0,177,398,324,146,488,325,-14,23,990,7.25,68.43,0.676,0,321.3,0.4,0
2009,1,2,17,0,97,95,117,92,295,153,-10,18,990,12.52,77.94,0.637,0,303.1,0.30000000000000004,0
2009,1,2,18,0,1,0,1,7,12,7,-13,16,990,11.6,88.74,0.611,0,288.1,0.4,0
2009,1,2,19,0,0,0,0,0,0,0,-13,15,990,12.17,100.38,0.594,0,290.5,0.5,0
2009,1,2,20,0,0,0,0,0,0,0,-15,14,990,11.4,112.59,0.582,0,301.3,0.7000000000000001,0
2009,1,2,21,0,0,0,0,0,0,0,-15,14,990,11.790000000000001,125.14,0.5740000000000001,0,317.90000000000003,0.8,0
